CODE,NAME
0A,Amber Air
0B,Blue Air
0D,Darwin Airline
0J,Jetclub
0K,Air Kokshetau
1A,Amadeus Global Travel Distribution
1B,Abacus International
1C,EDS Information Business
1D,Radixx Solutions International
1E,TravelSky Technology Limited
1F,INFINI Travel Information
1G,
1H,Siren-Travel
1I,Netjets Aviation
1J,
1K,Sutra
1L,Open Skies
1M,JSC Transport Automated Information Systems (TAIS)
1N,Navitaire
1Q,Sirena
1R,
1S,Sabre
1T,1Time Airline
1U,Polyot Sirena
1Y,Electronic Data Systems Corporation
1Z,Sabre Pacific
2A,Deutsche Bahn
2C,SNCF
2D,Aero VIP
2F,Frontier Flying Service
2G,San Juan Airlines
2H,Thalys
2I,Star Up
2J,Air Burkina
2L,Helvetic Airways
2M,Moldovian Airlines
2N,Yuzmashavia
2O,Air Salone
2P,Air Philippines
2R VIA ,
2S,Island Express
2T,Haiti Ambassador Airlines
2U,Air Guinee Express
2V,Amtrak
2W,Welcome Air
3K,Jetstar Asia
3U,Sichuan Airlines
3A,
3Q,
4A,Air Kiribati
4D,Air Sinai
4K,Askari Aviation Pvt Limited
4L,Air Astana
4R,HI Hamburg International
4U,Germanwings
5C,CAL Cargo Air Lines
5D,V-Bird Airlines
5G,Skyservice Airlines
5J,Cebu Pacific Air
5L,Aerosur
5P,Skyeurope Airlines Hungary
5T,Canadian North/Air NorTerra Inc
5W,Astraeus
5X,UPS Airlines
5Y,Atlas Air
6B,TUIfly Nordic
6E,IndiGo
6G,
6H,El Al Israel Airlines/Israir Airlines
6J,Skynet Asia Airways
6P,Club Air
6U,
6V,Air Vegas
6W,Saratov
6Z,Panavia S.A.
7B,Krasnojarsky Airlines/Kras Air Airlines
7C,Jeju Air
7D,Donbassaero Airlines
7F,First Air
7G,Star Flyer
7K,Kogalymavia Airlines
7L,Sun d'Or International Airlines
8A,Atlas Blue
8B,Caribbean Star Airlines
8C,East Star Airline
8D,Expo Aviation
8E,Bering Air
8F,Fischer Air
8G,Angel Airlines
8H,Heli France
8I,Myway Airlines
8J,Komiinteravia
8L,Lucky Air
8M,Myanmar Airways International
8N,Nordkalottflyg AB
8O,West Coast Air
8P,Pacific Coastal Airlines
8Q,Onur Air/Baker Aviation
8R,Transporte Aereo Regional do Interior Paulista/Edelweiss Air
8S,Turbo Jet
8T,Air Tindi
8U,Afriqiyah Airways
8V,Wright Air
8W,BAX Global
8Y,Air Burundi
8Z,LASER
9C,Spring Airlines
9D,Perm Airlines
9E,Pinnacle Airlines/
9R,Phuket Air
9U,Air Moldova
9W,Jet Airways
A2,Cielos del Peru
A3,Aegean Airways
A4,Southern Winds
A5,Airlinair
A6,Air Alps Aviation
A7,Air Comet
A8,Benin Golf Air
A9,Airzena Georgian Airlines
AA,American Airlines
AB,Air Berlin
AC,Air Canada
AD,Air Paradise
AE,Mandarin Airlines
AF,Air France
AG,Air Contractors
AH,Air Algerie
AI,Air India
AJ,Aero Contractors
AK,AirAsia Berhad
AL,Skyway Airlines/
AM,Aeroméxico
AP,Air One
AQ,Aloha Airlines
AR,Aerolineas Argentinas S.A.
AS,Alaska Airlines
AT,Royal Air Maroc
AU,Austral Lineas Aereas-Cielos del Sur
AV,Avianca
AW,Schreiner Airways
Dirgantara Air Services,
AX,Trans State Airlines/
AY,Finnair
AZ,Alitalia
B2,Belavia
B3,Bellview Airlines
B4,B.A.C.H. Flugbetriebs 
B5,Amadeus Flugdienst
B6,Jetblue Airways
B7,Uni Airways
B8,Eritrean Airlines
B9,Iran Air Tours
BA,British Airways
BB,Seaborne Airlines
BC,Skymark Airlines
BD,Bmi british midland
BE,FlyBE
BF,Bluebird Cargo
BG,Biman Bangladesh Airlines
BH,Hawkair Aviation
BI,Royal Brunei Airlines
BJ,Nouvelair Tunisia
BK,Okay Airways
BL,Pacific Airlines
BM,Bayu Indonesia Air
BN,Forward Air International Airlines
BO,
BP,Air Botswana
BQ,
BR,EVA Airways
BS,British International
BT,Air Baltic
BV,Blue Panorama Airlines
BW,Bwia West Indies
BX,Coast Air Ks
BY,Thomsonfly
BZ,Keystone Air Service
C0,Centralwings
C3,Independent Carrier
C4,Zimex Aviation Limited
C5,Champlain Enterprises
C6,Canjet Airlines
C7,Rico Linhas Aereas
C9,Cirrus Airlines
CA,Air China
CB,ScotAirways
CC,Air Atlanta Icelandic
CD,Alliance Air
CE,Nationwide Airlines
CF,City Airline
CG,Airline of Papua N G
CH,Bemidji Aviation
CI,China Airlines
CJ,
CK,China Cargo
CL,Lufthansa CityLine
CM,COPA
CN,Westward Airways
CO,Continental Airlines
CQ,Sunshine Express Airlines
CR,OAG Worldwide
CS,Micronesia
CU,Cubana de Aviación
CV,Cargolux Airlines International
CW,Air Marshall Islands
CX,Cathay Pacific Airways
CY,Cyprus Airways
CZ,China Southern Airlines
D2,Damania Airways
D3,Daallo Airlines
D5,Nepc Airlines
D6,Interair South Africa
D7,Dinar Lineas Aereas
D8,Diamond Sakha Airlines
D9,Donavia 
DA,
DB,
DC,Golden Air
DD,Conti-Flug
DD,Nok Air
DE,Prime Air Inc.
DE,
DF,Aebal
DG,South East Asian
DH,Independence Air
DH,DHL
DI,Deutsche BA
DK,Eastland Air
DL,Delta Airlines
DM,Maersk
DN,Air Deccan
DO(Dominicana),
DP,Air 2000
DP,First Choice Airways
DQ,Coastal Air Transport
DR,Hyères Aero Services
DR,Air Link
DS,Air Senegal
DT,Taag Angola Airlines
DU,Hemus Air
DV,Nantucket Airlines
DW,Aero Charter
DX,Danish Air Transport
DY,Norwegian Air Shuttle
DZ,Air Metro North
E2,Edelweiss Holdings
E3,Domodedovo Airlines
E4,Aero Asia International
E5,Samara Airlines
E7,European Aviation Air
E8,ALPI Eagles S.p.A.
E9,Boston-Maine Airways
EA,European Air Express
EC,Avialeasing Aviation Company
ED,Airblue
EE,Aero Airlines 
FE,Far Eastern Air Transport
EG,Japan Asia Airways
EH,SAETA Sociedad Anónima Ecuatoriana de Transportes Aéreos
EI,Aer Lingus Irish Airlines
EJ,New England Airlines
EK,Emirates
EL,Air Nippon
EM, 
EM,Aero Benin
EN,Air Dolomiti
EO,Hewa Bora Airways
EP,Iran Aseman Airlines
EQ,Transportes Aéreos Militares Ecuatorianos
ER,Astar Air Cargo
ES,DHL
ET,Ethiopian Airlines
EU,
EU,Ecuatoriana
EV/, 
EW,Eurowings
EX,Aerolineas Santo Domingo
EY,Etihad Airways
EZ, 
EZ,Sun Air of Scandinavia
F4,
F6,
F9,Frontier Airlines
FB,Bulgaria Air
FC,Finncomm Airlines
FD,Thai AirAsia
FE,Far Eastern Air Transport
FG,Ariana Afghan Airlines
FI,Icelandair
FJ,Air Pacific
FL,AirTran Airways
FM,Shanghai Airlines
FQ,Thomas Cook Airlines
FR,Ryanair/Centre-South/
FT,Siem Reap Airways International
FV,Pulkovo Aviation
FW,Fair|IBEX
FX,
FZ,Flydubai
G0,Ghana International Airlines
G4,Allegiant Air
G5,Enkor
G6,
G8,
G8,Go Air
G9,Air Arabia
GA,Garuda Indonesia
GB,ABX Air
GC,Gambia International Airlines
GE,Trans Asia Airways
GF,Gulf Air
GH,Ghana Airways
GM,Air Slovakia
GN,Air Gabon
GQ,Big Sky Airlines
GS,Tianjin Airlines
GT,GB Airways
GW,Kubun Airlines
H2,Sky Airline
H4,Héli Sécurité Helicopter Airlines
H4,Inter Islands Airlines
H5,Magadan Airlines
H8,Dalavia Far East Airways
HA,Hawaiian Airlines
HD,Hokkaido International Airlines/Air Do
HE,Luftfahrtgesellschaft Walter
HG,Niki
HM,Air Seychelles
HO,Juneyao Airlines
HP,America West
HU,Hainan Airlines
HV,Transavia Holland
HW,Iceland Express/Hello/
HX,
HX,Trans North Aviation
HY,Uzbekistan Airways
IA,IRAQI AIRWAYS
IB,IBERIA
IC,Indian Airlines
IG,Meridiana
IN,Macedonian Airlines
IR,Iran Air
IV,
IV,Wind Jet
IW,AOM French Airlines
IY,Yemenia Yemen Airways
IZ,Arkia Israeli Airlines
IX,
J2,Azerbaijan Airlines
J7,Centre-Avia Airlines
J9,Guinee Airlines
JB,Helijet International
JC,JAL Express
JD,Beijing capital airlines
JJ,Aviogenex
JJ,TAM Linhas Aereas
JK,Spanair
JL,Japan Airlines
JM,Air Jamaica
JO,JALways
JP,Adria Airways
JQ,Jetstar Airways
JS,
JT,Lion Air
JU,Jat Airways
JW,Arrow Air
KA,Dragonair
KB,Druk Air
KE,Korean Air
KF,Blue1
KL,KLM
KM,Air Malta
KN,
KT,KTK Airlines
KQ,Kenya Airways
KU,Kuwait Airways
KV,Kavminvodyavia
KW,Kelowna Flightcraft
KX,Cayman Airways
KY,Kunming Airlines
KZ,Nippon Cargo Airlines
L4,Lauda Italy
LA,Lan Chile
LB,Lloyd Aereo Boliviano
LD,Air Hong Kong
LG,Luxair
LH,Deutsche Lufthansa
LJ,Sierra National Airlines
LJ,Jin Air
LK,Air Luxor
LL,Lineas Aeras Allegro
LN,Libyan Arab Airlines
LO,LOT Polish Airlines
LP,Lan Peru
LR,LACSA/TACA
LS,Channel Express Air Services Ltd.
LT,LTU
LX,Swiss International Air Lines
LY,El Al Israel Airlines
LZ,
MA,Malev Hungarian Airlines
MB,MNG Airlines
MD,Air Madagascar
ME,Middle East Airlines
MF,Xiamen Airlines
MH,Malaysia Airlines
MI,Silk Air
MJ,Lineas Aereas Privadas Argentinas
MK,Air Mauritius
MM,Peach Aviation
MP,Martinair
MR,Air Mauritania
MS,Egyptair
MT,Thomas Cook Airlines
MU,China Eastern Airlines
MV,Armenian International Airways
MX,Mexicana de Aviacion
MZ,Merpati Nusantara Airlines
N3,Omskavia Airline
NB,Sterling European
NE,Sky Europe Airlines
NG,Lauda Air
NH,All Nippon Airways
NI,Portugalia
NK,Spirit Airlines
NL,Shaheen Air International
NQ,Air Japan
NS,Hebei Airlines
NV,
NX,Air Macau
NW,Northwest Airlines
NZ,Air New Zealand
O3,SF Airlines
OA,Olympic Airlines
OB,Astrahan Airlines
OH,Comair
OK,CSA Czech Airlines
OM,Miat-Mongolian Airlines
OO,SkyWest
OQ,
OS,Austrian Airlines
OU,Croatia Airlines
OV,Estonian Air
OW,Executive Airlines
OX,Orient Thai Airlines
OZ,Asiana Airlines
PA,
P2,UTair
P7,EastLine
PC,Fiji Air
PD,
PE,Air Europe SPA
PG,Bangkok Airways
PK,Pakistan International Airlines
PN,West Air
PO,Polar
PR,Philippine Airlines
PS,Ukraine International Airlines
PX,Air Niugini
PY,Surinam Airways
Q3,PB Air
Q5,40-Mile Air
QF,Qantas Airways
QT,
QQ,Alliance Airlines Reno Air
QR,Qatar Airways
QS,Travel Service Airlines
QS,Smart Wings
QV,Lao Aviation
QW, 
QX,Horizon Air
QZ ,
QZ,Indonesia AirAsia
R2,Orenburg Airlines
RA,Royal Nepal Airlines
RB,Syrian Arab Airlines
RC,Atlantic Airways
RE,Aer Arann
RF,Florida West International Airways
RG,Varig Brasil
RI,Mandala Airlines
RJ,Royal Jordanian Airline
RQ,Kam Air
RN,Air Horizons
RN,Euralair
RO,Tarom
S2,Air Sahara
S4,SATA International
S7,S7 Airlines
S9,East African Safari Air
SA,South African Airways
SC,Shandong Airlines
SD,Sudan Airways
SG,Jetsgo
SG,Spicejet
SH,FlyMe
SJ,Freedom Air
SK,SAS Scandinavian Airlines
SN,Brussels Airlines
SQ,Singapore Airlines
SR,SwissAir
SU,Aeroflot Russian Airlines
SV,Saudi Arabian Airlines
SW,Air Namibia
SY,Sun Country Airlines
SZ,Air China Southwest Company
T4,Hellas Jet
T5,Turkmenistan
T7,Twin Jet
T9,TransMerridian Airlines
TA,Taca International
TE,flyLAL
TG,Thai Airways
TH,Transmile Air Services
TH,British Airways CitiExpress
TL,Trans Mediterranean Airways
TL,Airnorth Regional
TK,Turkish Airlines
TN,Air Tahiti Nui
TP,TAP Air
TQ,Tandem Aero
TR,Tiger Airways
TS,Air Transat
TT,Air Lithuania
TU,Tunis Air
TX,Air Caraibes
TZ,ATA
U2,easyJet
U2,UFS
U5,USA 3000 Airlines
U6,Ural Airlines
U8,Armavia
U9,Tatarstan Airlines
UA,United Airlines
UB,Myanmar Airways
UL,SriLankan Airlines
UM,Air Zimbabwe
UN,
UO,HK Express
UQ,O'Connor Airlines
US,US Airways
UU,Air Austral
UX,Air Europa Lineas Aereas
UY,Cameroon Airlines
V7,Air Senegal
V9,BAL
VA,Virgin Australia
VD,Air Liberte
VF,ValuAir
VH,Aeropostal
VI,Volga-Dnepr Airlines
VN,Vietnam Airlines
VR,Cape Verde Airlines
VS,Virgin Atlantic Airlines
VV,Aerosvit
VY,Formosa Airlines
VY,Vueling Airlines
VZ,MyTravel Airways
W2,Canadian Western Airlines
W3,Flyhy Cargo Airlines
W5,Mahan Air
W6,Wizzair
W8,Cargojet Airways Ltd.
W9,Sky Service Bvba
W9,Eastwind Airlines Inc.
WB,Rwand Air
WD,DAS Air Cargo
WF,Widerøe 
WH,
WH,WebJet Linhas Aéreas
WK,American Falcon S.A.
WN,Southwest Airlines
WO,World Airways Inc.
WS,WestJet
WV,Swe Fly
WW,Bmibaby Limited
WX,CityJet
WY,Oman Air
X0,
X2,
X3,Hapag-Lloyd Express
X5,Afrique Airlines
X7,Chitaavia
XC,Snp Airlines
XF,Vladivostok Air
XJ,Mesaba Airlines
XK,CCM Airlines
XM,J-Air
XM,Australian Air Express
XO,LTE International Airways|LTE
XS,SITA
XT,Air Exel
XU,Tonlesap Airlines
XY,National Air Services
Y8,Yangtze River Airlines Company Limited
Y9,Kish Airline
YK,Cyprus Turkish Airlines
YL,Yamal Airlines
YM,Montenegro Airlines
YS,Régional Compagnie Aerienne Européenne
YT,Air Togo
YV,Mesa Airlines
YU,Euroatlantic Airways
YW,Air Nostrum
YX,Midwest Airlines
Z2,Zest Airways
Z2,Zhongyuan Airlines
Z4,Zoom Airlines
ZA,Astair
ZE,Líneas Aéreas Azteca
ZG,Viva Macau
ZH,Shenzhen Airlines
ZI,Aigle Azur
ZL,Regional Express
ZN,Air Bourbon
ZS,Azzurra Air
ZS,Sama Airlines
ZU,Helios Airways
ZW,Air Wisconsin
ZV,Air Midwest
ZX,Air Georgian
